CANONICAL_CENTER            0x0000000000000001
BRIGHT                      0x0000000000000002
EDGE                        0x0000000000000004
BLENDED                     0x0000000000000008
CHILD                       0x0000000000000010
PEAKCENTER                  0x0000000000000020
NODEBLEND                   0x0000000000000040
NOPROFILE                   0x0000000000000080
NOPETRO                     0x0000000000000100
MANYPETRO                   0x0000000000000200
NOPETRO_BIG                 0x0000000000000400
DEBLEND_TOO_MANY_PEAKS      0x0000000000000800
COSMIC_RAY                  0x0000000000001000
MANYR50                     0x0000000000002000
MANYR90                     0x0000000000004000
BAD_RADIAL                  0x0000000000008000
INCOMPLETE_PROFILE          0x0000000000010000
INTERP                      0x0000000000020000
SATURATED                   0x0000000000040000
NOTCHECKED                  0x0000000000080000
SUBTRACTED                  0x0000000000100000
NOSTOKES                    0x0000000000200000
BADSKY                      0x0000000000400000
PETROFAINT                  0x0000000000800000
TOO_LARGE                   0x0000000001000000
DEBLENDED_AS_PSF            0x0000000002000000
DEBLEND_PRUNED              0x0000000004000000
ELLIPFAINT                  0x0000000008000000
BINNED1                     0x0000000010000000
BINNED2                     0x0000000020000000
BINNED4                     0x0000000040000000
MOVED                       0x0000000080000000
DEBLENDED_AS_MOVING         0x0000000100000000
NODEBLEND_MOVING            0x0000000200000000
TOO_FEW_DETECTIONS          0x0000000400000000
BAD_MOVING_FIT              0x0000000800000000
STATIONARY                  0x0000001000000000
PEAKS_TOO_CLOSE             0x0000002000000000
MEDIAN_CENTER               0x0000004000000000
LOCAL_EDGE                  0x0000008000000000
BAD_COUNTS_ERROR            0x0000010000000000
BAD_MOVING_FIT_CHILD        0x0000020000000000
DEBLEND_UNASSIGNED_FLUX     0x0000040000000000
SATUR_CENTER                0x0000080000000000
INTERP_CENTER               0x0000100000000000
DEBLENDED_AT_EDGE           0x0000200000000000
DEBLEND_NOPEAK              0x0000400000000000
PSF_FLUX_INTERP             0x0000800000000000
TOO_FEW_GOOD_DETECTIONS     0x0001000000000000
CENTER_OFF_AIMAGE           0x0002000000000000
DEBLEND_DEGENERATE          0x0004000000000000
BRIGHTEST_GALAXY_CHILD      0x0008000000000000
CANONICAL_BAND              0x0010000000000000
AMOMENT_FAINT               0x0020000000000000
AMOMENT_SHIFT               0x0040000000000000
AMOMENT_MAXITER             0x0080000000000000
MAYBE_CR                    0x0100000000000000
MAYBE_EGHOST                0x0200000000000000
NOTCHECKED_CENTER           0x0400000000000000
OBJECT2_HAS_SATUR_DN        0x0800000000000000
OBJECT2_DEBLEND_PEEPHOLE    0x1000000000000000
GROWN_MERGED                0x2000000000000000
HAS_CENTER                  0x4000000000000000
RESERVED                    0x8000000000000000
